gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;;;
2251216280;040c5662-da76-4782-a48e-cdea1892d14c;http://bins.boldsystems.org/index.php/Public_RecordView?processid=PHANT287-08;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;UNRANKED;BOLD:AAE9151;BOLD:AAE9151;;TT;Manzanilla Bay;;PRESENT;;b3bf3a83-1f68-4541-a03f-330d30d567f5;;;;;;;;;;;;;10227616;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;Barcode of Life Datasystems;;;;2021-12-01T17:19:43.323Z;;;;;;;;;
2250739977;040c5662-da76-4782-a48e-cdea1892d14c;http://bins.boldsystems.org/index.php/Public_RecordView?processid=KERRI069-08;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;UNRANKED;BOLD:AAE9151;BOLD:AAE9151;;TT;;;PRESENT;;b3bf3a83-1f68-4541-a03f-330d30d567f5;;;;;;;;;;;;;10227616;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;Barcode of Life Datasystems;Mervyn Guevana & Gavin;;;2021-12-01T17:18:43.395Z;;;;;;;;;
2249128795;040c5662-da76-4782-a48e-cdea1892d14c;http://bins.boldsystems.org/index.php/Public_RecordView?processid=EWHHS123-06;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;UNRANKED;BOLD:AAE9151;BOLD:AAE9151;;TT;South Coast;;PRESENT;;b3bf3a83-1f68-4541-a03f-330d30d567f5;;;;;;;;;2002-07-16T00:00:00;16;7;2002;10227616;2418813;MATERIAL_SAMPLE;;;SOSFSC:Sphyrna tudes OC-1;;;;CC_BY_4_0;Barcode of Life Datasystems;;;;2021-12-01T17:18:46.467Z;;;;;;;;;
2248560857;040c5662-da76-4782-a48e-cdea1892d14c;http://bins.boldsystems.org/index.php/Public_RecordView?processid=ANGBF16037-19;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;UNRANKED;BOLD:AAE9151;BOLD:AAE9151;;BR;;;PRESENT;;b3bf3a83-1f68-4541-a03f-330d30d567f5;0.9;-52;;;;;;;2007-01-01T00:00:00;1;1;2007;10227616;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;Barcode of Life Datasystems;;;;2021-12-01T17:19:54.637Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;
1981063056;96419bea-f762-11e1-a439-00145eb45e9a;urn:uuid:f908abb2-1a12-48de-a054-b0420c1a06ca;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;(Valenciennes; 1822);MX;;Baja California Norte;PRESENT;28.444867;-112.872786;;;2372;;;;;;1926-05-09T00:00:00;9;5;1926;2418813;2418813;PRESERVED_SPECIMEN;YPM;VZ;YPM ICH 001001;;Charles M. Breder;;CC0_1_0;Yale Peabody Museum of Natural History;R/V Pawnee II; R/V Pawnee II;;;2021-12-21T14:45:18.195Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
1981055945;96419bea-f762-11e1-a439-00145eb45e9a;urn:uuid:c4f31444-e88c-4417-a0cd-1cabf734ff89;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;(Valenciennes; 1822);MX;;Baja California Norte;PRESENT;28.444867;-112.872786;;;2372;;;;;;1926-05-07T00:00:00;7;5;1926;2418813;2418813;PRESERVED_SPECIMEN;YPM;VZ;YPM ICH 001124;;Charles M. Breder;;CC0_1_0;Yale Peabody Museum of Natural History;R/V Pawnee II; R/V Pawnee II;;;2021-12-21T14:45:19.592Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
1981051860;96419bea-f762-11e1-a439-00145eb45e9a;urn:uuid:a295f0f3-9f3c-488b-b4e6-e8285be8a88e;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;(Valenciennes; 1822);MX;eastern Pacific off Mexico or Central America;;PRESENT;;;;;;;;;;;1926-01-01T00:00:00;;;1926;2418813;2418813;PRESERVED_SPECIMEN;YPM;VZ;YPM ICH 001008;;Charles M. Breder;;CC0_1_0;Yale Peabody Museum of Natural History;R/V Pawnee II; R/V Pawnee II;;;2021-12-21T14:45:19.288Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
1981037859;96419bea-f762-11e1-a439-00145eb45e9a;urn:uuid:2f2406c6-cb74-42ce-9a99-8c617515e731;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;(Valenciennes; 1822);MX;eastern Pacific off Mexico or Central America;;PRESENT;;;;;;;;;;;1926-01-01T00:00:00;;;1926;2418813;2418813;PRESERVED_SPECIMEN;YPM;VZ;YPM ICH 001123;;Charles M. Breder;;CC0_1_0;Yale Peabody Museum of Natural History;R/V Pawnee II; R/V Pawnee II;;;2021-12-21T14:45:17.735Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
1889058270;59825263-9f89-43a9-8f22-c22a6a53b8fc;4c0e3350-4329-4746-af03-62ef9763890a;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);;;US;Off Englewood;Florida;PRESENT;;;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;UMMZ;ummz_fish;155049;;;;CC_BY_4_0;;Bass Biol. Lab Staff;;;2022-01-14T17:46:25.370Z;;INSTITUTION_MATCH_FUZZY;;;;;;
1831405737;4bfac3ea-8763-4f4b-a71a-76a6f5f243d3;MCZ:Ich:172765;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);US;Englewood; off Stump Pass;26.899428;-82.339147;1;b4640710-8e03-11d8-b956-b8a03c50a862;;;1272;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;MCZ;Ich;172765;;Bottle Label(s);;CC_BY_NC_4_0;President and Fellows of Harvard College;[no agent data];;;2022-01-10T16:57:39.860Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;
