InstitutionCode;CollectionCode;CatalogNumber;IndividualCount;ScientificName;Family;PreparationType;Tissues;Latitude;Longitude;CoordinateUncertaintyInMeters;HorizontalDatum;Country;StateProvince;County;Island;IslandGroup;Locality;VerbatimElevation;VerbatimDepth;YearCollected;MonthCollected;DayCollected;Collector;GeorefMethod;LatLongComments;BasisOfRecord;Remarks;DateLastModified
YPM;VZ;YPM ICH 005626;3;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;;;;;;;;;;;;;;;;;;;PreservedSpecimen;ICH number 5626;
YPM;VZ;YPM ICH 001001;2;Sphyrna tudes;Sphyrnidae;10% form.->70% alc.;;28.444867;-112.872786;2372;WGS84;Mexico;Baja California Norte;;;;Pacific Ocean;;;;;;;;;;;
ROM;Fishes;58701;1;Sphyrna tudes;Sphyrnidae;whole animal (ETOH);;10;-61;;decimal degrees;Trinidad and Tobago;Trinidad;;;;;;;1972;4;26;Wood, H. E.;;;PreservedSpecimen;;03/04/2018
USNM;Fishes;394497;3;Sphyrna tudes;Sphyrnidae;;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;PreservedSpecimen;;
USNM;Fishes;159199;1;Sphyrna tudes;Sphyrnidae;Unknown;;0627 N;-55.125;;Degrees Minutes Seconds;;;;;;Off Surinam;;0 meters-26 meters;;;;;;;PreservedSpecimen;;
USNM;Fishes;394500;1;Sphyrna tudes;Sphyrnidae;;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;PreservedSpecimen;;
USNM;Fishes;RAD109853;2;Sphyrna tudes;Sphyrnidae;Acetate;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;MachineObservation;;
USNM;Fishes;156721;1;Sphyrna tudes;Sphyrnidae;Unknown;;;;;;Suriname;;;;;Atlantic, Surinam, SE Paramaraibo Light Ship;;;;;;J. Higman;;;PreservedSpecimen;;
USNM;Fishes;120751;1;Sphyrna bigelowi;Sphyrnidae;;;;;;;Uruguay;;;;;Atlantic, Uruguay;;;1925;;;W. Schmitt;;;PreservedSpecimen;Out of 87682;
USNM;Fishes;123217;1;Sphyrna tudes;Sphyrnidae;Dry Osteological Specimen;;;;;;Venezuela;;;;;Atlantic, Caribbean Sea, Gulf of Venezuela Anway Bay;;;1925;5;15;;;;PreservedSpecimen;Dried head. original # usbf 10287.;
USNM;Fishes;394499;1;Sphyrna tudes;Sphyrnidae;;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;PreservedSpecimen;;
USNM;Fishes;87682;1;Sphyrna bigelowi;Sphyrnidae;;;;;;;Uruguay;;;;;Atlantic, Uruguay;;;1925;;;W. Schmitt;;;PreservedSpecimen;Drawn. originally 2 specimens, 1 paratype removed to usnm 120751;
USNM;Fishes;106543;1;Sphyrna tudes;Sphyrnidae;Unknown;;;;;;United States;Florida;;;;Atlantic, Gulf of Mexico, Florida, Off Stump Pass, Englewood;;;;;;;;;PreservedSpecimen;;
USNM;Fishes;159228;4;Sphyrna tudes;Sphyrnidae;;;0622 N;-55.092;;Degrees Minutes Seconds;Suriname;;;;;Atlantic Off Surinam;;24 meters;;;;;;;PreservedSpecimen;;
USNM;Fishes;RAD110858;1;Sphyrna tudes;Sphyrnidae;Polyester;;;;;;;;;;;No Data;;;;;;No Data;;;MachineObservation;From the Stewart Springer Radiograph Collection. Rad./Serial No. 311;
USNM;Fishes;196152;1;Sphyrna tudes;Sphyrnidae;;;;;;;Senegal;;;;;Atlantic, Africa: Senegal, Joal;;;;;;J. Cadenat;;;PreservedSpecimen;;
USNM;Fishes;159229;4;Sphyrna tudes;Sphyrnidae;;;0622 N;-55.092;;Degrees Minutes Seconds;Suriname;;;;;Atlantic Off Surinam;;24 meters;;;;;;;PreservedSpecimen;;
USNM;Fishes;394498;2;Sphyrna tudes;Sphyrnidae;;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;PreservedSpecimen;;
USNM;Fishes;110300;1;Sphyrna tudes;Sphyrnidae;Dry Osteological Specimen;;;;;;United States;Florida;;;;Atlantic, Gulf of Mexico, Florida. Englewood;;;;;;S. Springer;;;PreservedSpecimen;Jaws. original # 340.;
USNM;Fishes;195957;1;Sphyrna tudes;Sphyrnidae;Illustration;;2954 N;08806 W;;Degrees Minutes Seconds;United States;Mississippi;;;;Atlantic, Gulf of Mexico, Miss.:;;27 meters-31 meters;1958;2;16;;;;PreservedSpecimen;In 2 separate jars.;
USNM;Fishes;159227;2;Sphyrna tudes;Sphyrnidae;;;6.33333;-54.8583;;Degrees Minutes Seconds;;;;;;Atlantic Off Surinam;;22 meters;;;;;;;PreservedSpecimen;;
USNM;Fishes;110299;1;Sphyrna tudes;Sphyrnidae;Dry Osteological Specimen;;;;;;;;;;;;;;;;;;;;;;
USNM;Fishes;159197;1;Sphyrna tudes;Sphyrnidae;Radiograph;;0627 N;-55.125;;Degrees Minutes Seconds;;;;;;Off Surinam;;0 meters-26 meters;;;;;;;PreservedSpecimen;;
SIO;Marine Vertebrates;47-67;;Sphyrna tudes;Sphyrnidae;dried;;31°00.0'N;-114.8666667;;not recorded (forced WGS84);Mexico;Baja California;;;;Mar de Cortés, Mexico | Baja California Norte | Pacific: Gulf of California | N of San Felipe;;;1947;4;13;local fisherman;;;PreservedSpecimen;;11/10/2019
MNHN;IC;0000-1049;1;Sphyrna tudes;Sphyrnidae;;;43.7;7.267;1;;france;alpes-maritimes;;;;nice;;;;;;risso;;;PreservedSpecimen;"""SYNTYPE DE ZYGAENA TUDES VALENCIENNES, 1822, IN MEM. MUS. NAT. HIST, IX : 225, PL. 12, FIG. 1""";07:51.0
MNHN;IC;AB-0234;;Sphyrna tudes;Sphyrnidae;squelettis�;;14.15;-16.85;0;;senegal;;;;;joal;;;1956;5;;cadenat;;;PreservedSpecimen;"""1 pi�ce (machoire) L.2,29 m.44 kg. num�rot�e MNHN 1965-0113""";03:37.0
MNHN;IC;AB-0235;;Sphyrna tudes;Sphyrnidae;squelettis�;;14.15;-16.85;1;;senegal;;;;;joal;;;;;;cadenat;;;PreservedSpecimen;"""1 pi�ce (machoire) L. 1,64 m. num�rot�e MNHN 1965-0114""";03:37.0
MNHN;IC;1908-0069;1;Sphyrna tudes;Sphyrnidae;;;-21;37.5;10;;mozambique;;;;;;;;1908;;;vasse;;;PreservedSpecimen;AFRIQUE ORIENTALE PORTUGAISE;07:51.0
MNHN;IC;0000-1019;1;Sphyrna tudes;Sphyrnidae;;;4.917;-52.133;1;;guyane francaise;guyane fran�aise;;;;cayenne;;;;;;leblond;;;PreservedSpecimen;"""SYNTYPE DE ZYGAENA TUDES VALENCIENNES, 1822 IN MEM. MUS. NAT. HIST., IX : 225, PL. 12, FIG. 1""";07:51.0
MNHN;IC;1900-0116;1;Sphyrna tudes;Sphyrnidae;;;20;-110;10;;golfe de californie;baie de californie;;;;;;;;;;inconnu;;;PreservedSpecimen;;07:51.0
MNHN;IC;1987-1305;2;Sphyrna tudes;Sphyrnidae;;;12.5;112.5;10;;cambodge;;;;;;;;1964;;;d'aubenton;;;PreservedSpecimen;;07:51.0
